RecordID,FeeAmount,RabiesExpirationDate,StreetName,TagNumber,TagType,TagYear,BlockNumber
1001,4,2014-02-21T00:00:00.000Z,BURNET ST ,20541,Unsexed - 1 Year         ,2010,100
1002,4,2016-02-04T00:00:00.000Z,NORTHWOOD AVE ,20542,Unsexed - 1 Year         ,2010,700
1003,4,2022-02-22T00:00:00.000Z,CRESTMONT AVE ,20543,Unsexed - 1 Year         ,2010,2300
1004,4,2022-05-08T00:00:00.000Z,LOCUST AVE ,20544,Unsexed - 1 Year         ,2010,800
1005,4,2011-08-22T00:00:00.000Z,BROAD AVE ,20545,Unsexed - 1 Year         ,2010,1500
1006,4,2014-04-07T00:00:00.000Z,FENDALL AVE ,20546,Unsexed - 1 Year         ,2010,1800
1007,4,2022-05-13T00:00:00.000Z,FENDALL AVE ,20547,Unsexed - 1 Year         ,2010,1800
1008,4,2017-02-26T00:00:00.000Z,BLENHEIM AVE ,20548,Unsexed - 1 Year         ,2010,600
1009,4,2015-10-30T00:00:00.000Z,MEADE AVE ,20549,Unsexed - 1 Year         ,2010,300
1010,4,2015-09-07T00:00:00.000Z,MEADE AVE ,20550,Unsexed - 1 Year         ,2010,300
1011,4,2017-02-05T00:00:00.000Z,RIVERSIDE AVE ,20551,Unsexed - 1 Year         ,2010,300
1012,4,2019-09-30T00:00:00.000Z,WINSTON RD ,20552,Unsexed - 1 Year         ,2010,1800
1013,4,2016-03-25T00:00:00.000Z,BLENHEIM AVE ,20553,Unsexed - 1 Year         ,2010,600
1014,10,2017-10-14T00:00:00.000Z,CHESAPEAKE ST ,20554,Sexed - 1 Year           ,2010,1500
1015,4,2010-12-09T00:00:00.000Z,DRUID AVE ,20555,Unsexed - 1 Year         ,2010,1100
1016,4,2016-06-12T00:00:00.000Z,ALDERMAN RD ,20556,Unsexed - 1 Year         ,2010,300
1017,10,2011-02-15T00:00:00.000Z,WESTWOOD CIR ,20557,Sexed - 1 Year           ,2010,100
1018,4,2014-02-10T00:00:00.000Z,OLD LYNCHBURG RD ,20558,Unsexed - 1 Year         ,2010,300
1019,4,2012-01-31T00:00:00.000Z,HIGHLAND AVE ,20559,Unsexed - 1 Year         ,2010,600
1020,4,2012-01-31T00:00:00.000Z,HIGHLAND AVE ,20560,Unsexed - 1 Year         ,2010,600
1021,4,2023-02-04T00:00:00.000Z,MORRIS RD ,20561,Unsexed - 1 Year         ,2010,2100
1022,4,2023-02-04T00:00:00.000Z,MORRIS RD ,20562,Unsexed - 1 Year         ,2010,2100
1023,10,2020-02-27T00:00:00.000Z,ST CHARLES CT ,20563,Sexed - 1 Year           ,2010,1100
1024,10,2018-03-30T00:00:00.000Z,ST CHARLES CT ,20564,Sexed - 1 Year           ,2010,1100
1025,4,2014-02-14T00:00:00.000Z,KEITH VALLEY RD ,20565,Unsexed - 1 Year         ,2010,1600
1026,4,2015-12-11T00:00:00.000Z,ROBINSON WOODS ,20566,Unsexed - 1 Year         ,2010,100
1027,4,2014-04-21T00:00:00.000Z,ROBINSON WOODS ,20567,Unsexed - 1 Year         ,2010,100
1028,10,2014-02-09T00:00:00.000Z,UNASSIGNED ,20568,Sexed - 1 Year           ,2010,0
1029,4,2010-10-19T00:00:00.000Z,13TH ST NE ,20569,Unsexed - 1 Year         ,2010,300
1030,4,2012-10-20T00:00:00.000Z,13TH ST NE ,20570,Unsexed - 1 Year         ,2010,300
1031,4,2013-08-09T00:00:00.000Z,NORTH AVE ,20571,Unsexed - 1 Year         ,2010,600
1032,10,2016-03-14T00:00:00.000Z,KENWOOD LN ,20572,Sexed - 1 Year           ,2010,1600
1033,4,2012-12-07T00:00:00.000Z,BRANDYWINE DR ,20573,Unsexed - 1 Year         ,2010,2200
1034,4,2015-03-01T00:00:00.000Z,UNASSIGNED ,20574,Unsexed - 1 Year         ,2010,0
1035,4,2012-09-17T00:00:00.000Z,HILLWOOD PL ,20575,Unsexed - 1 Year         ,2010,2500
1036,4,2013-02-11T00:00:00.000Z,MASON LN ,20576,Unsexed - 1 Year         ,2010,1600
1037,4,2011-02-03T00:00:00.000Z,MASON LN ,20577,Unsexed - 1 Year         ,2010,1600
1038,4,2012-06-19T00:00:00.000Z,TRAILRIDGE RD ,20578,Unsexed - 1 Year         ,2010,1600
1039,10,2013-06-21T00:00:00.000Z,TRAILRIDGE RD ,20579,Sexed - 1 Year           ,2010,1600
1040,4,2012-10-17T00:00:00.000Z,BRANDYWINE CT ,20580,Unsexed - 1 Year         ,2010,1600
1041,4,2019-08-19T00:00:00.000Z,BRANDYWINE CT ,20581,Unsexed - 1 Year         ,2010,1600
1042,4,2013-12-14T00:00:00.000Z,ROBERTSON AVE ,20582,Unsexed - 1 Year         ,2010,200
1043,4,2019-10-12T00:00:00.000Z,COTTONWOOD RD ,20583,Unsexed - 1 Year         ,2010,1000
1044,4,2015-10-18T00:00:00.000Z,COTTONWOOD RD ,20584,Unsexed - 1 Year         ,2010,1000
1045,4,2013-07-05T00:00:00.000Z,JEFFERSON PARK AVE ,20585,Unsexed - 1 Year         ,2010,1800
1046,4,2019-09-30T00:00:00.000Z,CRESTMONT AVE ,20586,Unsexed - 1 Year         ,2010,2300
1047,10,2012-10-08T00:00:00.000Z,W MAIN ST ,20587,Sexed - 1 Year           ,2010,900
1048,4,2013-10-11T00:00:00.000Z,RUGBY AVE ,20588,Unsexed - 1 Year         ,2010,1500
1049,4,2013-11-08T00:00:00.000Z,CHERRY AVE ,20589,Unsexed - 1 Year         ,2010,1600
1050,4,2016-07-08T00:00:00.000Z,PROSPECT AVE ,20590,Unsexed - 1 Year         ,2010,800
1051,4,2013-12-19T00:00:00.000Z,ST CLAIR AVE ,20591,Unsexed - 1 Year         ,2010,1100
1052,4,2021-03-03T00:00:00.000Z,CHERRY AVE ,20592,Unsexed - 1 Year         ,2010,1100
1053,10,2021-03-03T00:00:00.000Z,CHERRY AVE ,20593,Sexed - 1 Year           ,2010,1100
1054,4,2014-05-30T00:00:00.000Z,MOSELEY DR ,20594,Unsexed - 1 Year         ,2010,400
1055,4,2019-03-25T00:00:00.000Z,CRESTMONT AVE ,20595,Unsexed - 1 Year         ,2010,2300
1056,4,2015-10-17T00:00:00.000Z,BOLLINGWOOD RD ,20596,Unsexed - 1 Year         ,2010,100
1057,4,2012-04-03T00:00:00.000Z,MONTROSE AVE ,20597,Unsexed - 1 Year         ,2010,700
1058,4,2012-03-26T00:00:00.000Z,MONTE VISTA AVE ,20598,Unsexed - 1 Year         ,2010,200
1059,10,2018-03-18T00:00:00.000Z,GLENDALE RD ,20599,Sexed - 1 Year           ,2010,1000
1060,4,2014-06-10T00:00:00.000Z,HINTON AVE ,20600,Unsexed - 1 Year         ,2010,700
1061,4,2011-09-16T00:00:00.000Z,OAKLEAF LN ,20601,Unsexed - 1 Year         ,2010,1600
1062,4,2012-03-02T00:00:00.000Z,OAKLEAF LN ,20602,Unsexed - 1 Year         ,2010,1600
1063,10,2011-06-16T00:00:00.000Z,SHAMROCK RD ,20603,Sexed - 1 Year           ,2010,200
1064,4,2011-09-19T00:00:00.000Z,MONTE VISTA AVE ,20604,Unsexed - 1 Year         ,2010,100
1065,4,2011-11-07T00:00:00.000Z,STRIBLING AVE ,20605,Unsexed - 1 Year         ,2010,100
1066,4,2014-10-19T00:00:00.000Z,TARLETON DR ,20606,Unsexed - 1 Year         ,2010,2100
1067,4,2014-01-12T00:00:00.000Z,HIGHLAND AVE ,20607,Unsexed - 1 Year         ,2010,700
1068,4,2014-04-28T00:00:00.000Z,18TH ST NE ,20608,Unsexed - 1 Year         ,2010,200
1069,4,2011-07-16T00:00:00.000Z,WINSTON RD ,20609,Unsexed - 1 Year         ,2010,1800
1070,10,2010-12-05T00:00:00.000Z,LEXINGTON AVE ,20610,Sexed - 1 Year           ,2010,700
1071,4,2012-06-11T00:00:00.000Z,FOXBROOK LN ,20611,Unsexed - 1 Year         ,2010,1400
1072,4,2018-01-21T00:00:00.000Z,AVON ST ,20612,Unsexed - 1 Year         ,2010,500
1073,4,2011-04-03T00:00:00.000Z,ANDERSON ST ,20613,Unsexed - 1 Year         ,2010,700
1074,4,2016-01-02T00:00:00.000Z,CONCORD AVE ,20614,Unsexed - 1 Year         ,2010,800
1075,4,2010-12-04T00:00:00.000Z,WELLFORD ST ,20615,Unsexed - 1 Year         ,2010,1300
1076,4,2022-05-10T00:00:00.000Z,GLENN CT ,20616,Unsexed - 1 Year         ,2010,2300
1077,4,2020-01-12T00:00:00.000Z,GLENN CT ,20617,Unsexed - 1 Year         ,2010,2300
1078,4,2020-01-12T00:00:00.000Z,GLENN CT ,20618,Unsexed - 1 Year         ,2010,2300
1079,4,2023-01-14T00:00:00.000Z,GLENN CT ,20619,Unsexed - 1 Year         ,2010,2300
1080,4,2012-08-16T00:00:00.000Z,GLENN CT ,20620,Unsexed - 1 Year         ,2010,2300
1081,4,2012-01-31T00:00:00.000Z,LEONARD ST ,20621,Unsexed - 1 Year         ,2010,1100
1082,4,2012-06-22T00:00:00.000Z,CAMBRIDGE CIR ,20622,Unsexed - 1 Year         ,2010,1600
1083,4,2010-08-13T00:00:00.000Z,STRIBLING AVE ,20623,Unsexed - 1 Year         ,2010,200
1084,4,2020-01-04T00:00:00.000Z,CRESTMONT AVE ,20624,Unsexed - 1 Year         ,2010,2300
1085,4,2011-02-15T00:00:00.000Z,BELLEVIEW AVE ,20625,Unsexed - 1 Year         ,2010,1200
1086,4,2012-03-21T00:00:00.000Z,BRANDYWINE DR ,20626,Unsexed - 1 Year         ,2010,2200
1087,4,2017-01-08T00:00:00.000Z,MOSELEY DR ,20627,Unsexed - 1 Year         ,2010,400
1088,4,2017-01-08T00:00:00.000Z,MOSELEY DR ,20628,Unsexed - 1 Year         ,2010,400
1089,4,2017-07-16T00:00:00.000Z,HOLMES AVE ,20629,Unsexed - 1 Year         ,2010,1200
1090,4,2016-06-17T00:00:00.000Z,DRUID AVE ,20630,Unsexed - 1 Year         ,2010,900
1091,4,2020-07-21T00:00:00.000Z,BRUCE AVE ,20631,Unsexed - 1 Year         ,2010,1600
1092,4,2019-02-26T00:00:00.000Z,BRUCE AVE ,20632,Unsexed - 1 Year         ,2010,1600
1093,4,2013-12-15T00:00:00.000Z,PRESTON PL ,20633,Unsexed - 1 Year         ,2010,600
1094,4,2013-01-08T00:00:00.000Z,PRICE AVE ,20634,Unsexed - 1 Year         ,2010,2300
1095,4,2014-06-07T00:00:00.000Z,WESTWOOD CIR ,20635,Unsexed - 1 Year         ,2010,100
1096,4,2011-04-30T00:00:00.000Z,CAMELLIA DR ,20636,Unsexed - 1 Year         ,2010,300
1097,4,2012-10-22T00:00:00.000Z,STRIBLING AVE ,20637,Unsexed - 1 Year         ,2010,100
1098,10,2014-03-11T00:00:00.000Z,PRICE AVE ,20638,Sexed - 1 Year           ,2010,2300
1099,4,2021-03-05T00:00:00.000Z,TARLETON DR ,20639,Unsexed - 1 Year         ,2010,2300
1100,4,2018-04-08T00:00:00.000Z,MONTICELLO AVE ,20640,Unsexed - 1 Year         ,2010,600
1101,4,2021-05-10T00:00:00.000Z,ROTHERY RD ,20642,Unsexed - 1 Year         ,2010,100
1102,4,2013-06-23T00:00:00.000Z,LEXINGTON AVE ,20643,Unsexed - 1 Year         ,2010,700
1103,4,2019-01-28T00:00:00.000Z,WATSON AVE ,20644,Unsexed - 1 Year         ,2010,800
1104,10,2016-11-06T00:00:00.000Z,12TH ST NE ,20645,Sexed - 1 Year           ,2010,200
1105,4,2012-04-25T00:00:00.000Z,OXFORD RD ,20646,Unsexed - 1 Year         ,2010,1600
1106,4,2010-02-18T00:00:00.000Z,ALTAVISTA AVE ,20647,Unsexed - 1 Year         ,2010,900
1107,4,2013-01-08T00:00:00.000Z,LOCUST AVE ,20648,Unsexed - 1 Year         ,2010,1100
1108,4,2016-05-02T00:00:00.000Z,LOCUST AVE ,20649,Unsexed - 1 Year         ,2010,1100
1109,4,2014-01-26T00:00:00.000Z,UNASSIGNED ,20650,Unsexed - 1 Year         ,2010,0
1110,4,2018-04-09T00:00:00.000Z,LONG ST ,20651,Unsexed - 1 Year         ,2010,1000
1111,4,2016-07-04T00:00:00.000Z,ELIZABETH AVE ,20652,Unsexed - 1 Year         ,2010,600
1112,10,2010-08-25T00:00:00.000Z,DRUID AVE ,20653,Sexed - 1 Year           ,2010,600
1113,4,2014-11-15T00:00:00.000Z,UNASSIGNED ,20654,Unsexed - 1 Year         ,2010,0
1114,4,2013-09-29T00:00:00.000Z,APPLE TREE RD ,20655,Unsexed - 1 Year         ,2010,100
1115,4,2011-03-18T00:00:00.000Z,CARTER LN ,20656,Unsexed - 1 Year         ,2010,1300
1116,4,2012-09-14T00:00:00.000Z,GOODMAN ST ,20657,Unsexed - 1 Year         ,2010,100
1117,4,2012-05-14T00:00:00.000Z,8TH ST NE ,20658,Unsexed - 1 Year         ,2010,500
1118,4,2010-11-16T00:00:00.000Z,8TH ST NE ,20659,Unsexed - 1 Year         ,2010,500
1119,4,2019-01-27T00:00:00.000Z,WINSTON RD ,20660,Unsexed - 1 Year         ,2010,1800
1120,4,2011-12-22T00:00:00.000Z,ELKHORN RD ,20661,Unsexed - 1 Year         ,2010,100
1121,4,2011-01-25T00:00:00.000Z,ST CHARLES CT ,20662,Unsexed - 1 Year         ,2010,1100
1122,4,2013-01-18T00:00:00.000Z,JEFFERSON PARK AVE ,20663,Unsexed - 1 Year         ,2010,1700
1123,4,2012-03-27T00:00:00.000Z,DOUGLAS AVE ,20664,Unsexed - 1 Year         ,2010,200
1124,4,2022-05-23T00:00:00.000Z,BLENHEIM AVE ,20665,Unsexed - 1 Year         ,2010,600
1125,4,2012-03-11T00:00:00.000Z,STRIBLING AVE ,20666,Unsexed - 1 Year         ,2010,100
1126,4,2012-03-11T00:00:00.000Z,STRIBLING AVE ,20667,Unsexed - 1 Year         ,2010,100
1127,12,2016-01-11T00:00:00.000Z,18TH ST NE ,20668,Unsexed - 3 Year         ,2012,300
1128,12,2014-07-09T00:00:00.000Z,18TH ST NE ,20669,Unsexed - 3 Year         ,2012,300
1129,4,2013-10-22T00:00:00.000Z,KENWOOD LN ,20670,Unsexed - 1 Year         ,2010,1400
1130,4,2013-11-17T00:00:00.000Z,SUNSET RD ,20671,Unsexed - 1 Year         ,2010,2400
1131,4,2010-07-15T00:00:00.000Z,TRAILRIDGE RD ,20672,Unsexed - 1 Year         ,2010,1500
1132,4,2016-07-12T00:00:00.000Z,RIVES ST ,20673,Unsexed - 1 Year         ,2010,900
1133,4,2020-03-14T00:00:00.000Z,GREENWICH CT ,20674,Unsexed - 1 Year         ,2010,100
1134,4,2015-11-12T00:00:00.000Z,GREENWICH CT ,20675,Unsexed - 1 Year         ,2010,100
1135,4,2022-01-12T00:00:00.000Z,GREENWICH CT ,20676,Unsexed - 1 Year         ,2010,100
1136,4,2019-12-15T00:00:00.000Z,WILDER DR ,20677,Unsexed - 1 Year         ,2010,600
1137,10,2011-07-24T00:00:00.000Z,NASSAU ST ,20679,Sexed - 1 Year           ,2010,800
1138,4,2030-03-08T00:00:00.000Z,COLEMAN ST ,20680,Unsexed - 1 Year         ,2010,900
1139,4,2019-12-29T00:00:00.000Z,COLEMAN ST ,20681,Unsexed - 1 Year         ,2010,900
1140,4,2016-12-16T00:00:00.000Z,WESTWOOD RD ,20682,Unsexed - 1 Year         ,2010,1500
1141,10,2018-04-10T00:00:00.000Z,CARLTON AVE ,20683,Sexed - 1 Year           ,2010,1400
1142,10,2013-07-09T00:00:00.000Z,UNASSIGNED ,20685,Sexed - 1 Year           ,2010,0
1143,10,2022-12-08T00:00:00.000Z,JEFFERSON PARK AVE ,20686,Sexed - 1 Year           ,2010,2400
1144,4,2014-06-17T00:00:00.000Z,BLENHEIM AVE ,20687,Unsexed - 1 Year         ,2010,800
1145,4,2016-01-14T00:00:00.000Z,SYCAMORE ST ,20688,Unsexed - 1 Year         ,2010,900
1146,4,2016-01-04T00:00:00.000Z,UNASSIGNED ,20690,Unsexed - 1 Year         ,2010,13300
1147,4,2012-09-16T00:00:00.000Z,ARLINGTON BLVD ,20691,Unsexed - 1 Year         ,2010,2400
1148,4,2019-11-05T00:00:00.000Z,WESTWOOD RD ,20692,Unsexed - 1 Year         ,2010,1600
1149,4,2013-06-29T00:00:00.000Z,UNASSIGNED ,20693,Unsexed - 1 Year         ,2010,0
1150,4,2013-07-19T00:00:00.000Z,GROVE AVE ,20694,Unsexed - 1 Year         ,2010,700
1151,4,2012-12-12T00:00:00.000Z,GROVE ST ,20695,Unsexed - 1 Year         ,2010,1100
1152,4,2011-01-15T00:00:00.000Z,BELLEVIEW AVE ,20696,Unsexed - 1 Year         ,2010,1200
1153,4,2014-03-14T00:00:00.000Z,UNASSIGNED ,20697,Unsexed - 1 Year         ,2010,0
1154,10,2020-06-08T00:00:00.000Z,LYONS COURT LN ,20698,Sexed - 1 Year           ,2010,700
1155,4,2016-11-25T00:00:00.000Z,LYONS COURT LN ,20699,Unsexed - 1 Year         ,2010,700
1156,4,2011-10-13T00:00:00.000Z,BANBURY ST ,20701,Unsexed - 1 Year         ,2010,2200
1157,4,2014-12-15T00:00:00.000Z,BANBURY ST ,20702,Unsexed - 1 Year         ,2010,2200
1158,4,2013-08-02T00:00:00.000Z,BOOKER ST ,20703,Unsexed - 1 Year         ,2010,600
1159,4,2019-01-13T00:00:00.000Z,ST CLAIR AVE ,20704,Unsexed - 1 Year         ,2010,1000
1160,4,2015-04-07T00:00:00.000Z,DRUID AVE ,20705,Unsexed - 1 Year         ,2010,1100
1161,4,2010-05-13T00:00:00.000Z,SWANSON DR ,20706,Unsexed - 1 Year         ,2010,1900
1162,4,2019-02-16T00:00:00.000Z,BARRACKS RD ,20707,Unsexed - 1 Year         ,2010,2600
1163,4,2014-12-30T00:00:00.000Z,ROUGEMONT AVE ,20708,Unsexed - 1 Year         ,2010,500
1164,4,2016-11-21T00:00:00.000Z,UNASSIGNED ,20709,Unsexed - 1 Year         ,2010,0
1165,4,2015-02-04T00:00:00.000Z,UNASSIGNED ,20710,Unsexed - 1 Year         ,2010,0
1166,4,2013-11-05T00:00:00.000Z,OLD 5TH ST ,20711,Unsexed - 1 Year         ,2010,100
1167,4,2019-12-14T00:00:00.000Z,EVERGREEN AVE ,20712,Unsexed - 1 Year         ,2010,600
1168,4,2010-05-03T00:00:00.000Z,EVERGREEN AVE ,20713,Unsexed - 1 Year         ,2010,600
1169,4,2022-09-12T00:00:00.000Z,ELLIOTT AVE ,20714,Unsexed - 1 Year         ,2010,800
1170,4,2011-05-08T00:00:00.000Z,ELLIOTT AVE ,20715,Unsexed - 1 Year         ,2010,800
1171,4,2015-01-03T00:00:00.000Z,PATON ST ,20716,Unsexed - 1 Year         ,2010,300
1172,4,2014-04-04T00:00:00.000Z,PATON ST ,20717,Unsexed - 1 Year         ,2010,300
1173,4,2018-09-11T00:00:00.000Z,BROOKWOOD DR ,20718,Unsexed - 1 Year         ,2010,100
1174,10,2012-02-25T00:00:00.000Z,LOCUST AVE ,20719,Sexed - 1 Year           ,2010,1000
1175,10,2010-06-14T00:00:00.000Z,MONTPELIER ST ,20720,Sexed - 1 Year           ,2010,100
1176,4,2013-03-18T00:00:00.000Z,CARTER LN ,20722,Unsexed - 1 Year         ,2010,1300
1177,4,2012-11-26T00:00:00.000Z,CARTER LN ,20723,Unsexed - 1 Year         ,2010,1300
1178,10,2010-06-14T00:00:00.000Z,MONTPELIER ST ,20724,Sexed - 1 Year           ,2010,100
1179,4,2010-11-20T00:00:00.000Z,SMITH ST ,20725,Unsexed - 1 Year         ,2010,1200
1180,4,2013-02-15T00:00:00.000Z,HENRY AVE ,20726,Unsexed - 1 Year         ,2010,900
1181,4,2020-02-13T00:00:00.000Z,KENWOOD LN ,20727,Unsexed - 1 Year         ,2010,1300
1182,4,2020-03-16T00:00:00.000Z,KENWOOD LN ,20728,Unsexed - 1 Year         ,2010,1300
1183,4,2013-10-28T00:00:00.000Z,ST CLAIR AVE ,20729,Unsexed - 1 Year         ,2010,800
1184,10,2013-11-15T00:00:00.000Z,TROOST CT ,20730,Sexed - 1 Year           ,2010,100
1185,4,2012-04-28T00:00:00.000Z,E MARKET ST ,20731,Unsexed - 1 Year         ,2010,1700
1186,4,2013-11-19T00:00:00.000Z,BLENHEIM AVE ,20732,Unsexed - 1 Year         ,2010,1000
1187,4,2013-06-09T00:00:00.000Z,,20733,Unsexed - 1 Year         ,2010,800
1188,4,2012-10-27T00:00:00.000Z,PRESTON AVE ,20734,Unsexed - 1 Year         ,2010,1000
1189,4,2012-02-09T00:00:00.000Z,PRESTON AVE ,20735,Unsexed - 1 Year         ,2010,1000
1190,4,2019-05-13T00:00:00.000Z,LEXINGTON AVE ,20736,Unsexed - 1 Year         ,2010,500
1191,4,2015-07-30T00:00:00.000Z,MEADOWBROOK RD ,20738,Unsexed - 1 Year         ,2010,2000
1192,4,2012-07-16T00:00:00.000Z,CAMBRIDGE CIR ,20738,Unsexed - 1 Year         ,2010,1600
1193,4,2023-01-06T00:00:00.000Z,AZALEA DR ,20739,Unsexed - 1 Year         ,2010,300
1194,4,2014-06-18T00:00:00.000Z,BELMONT AVE ,20740,Unsexed - 1 Year         ,2010,700
1195,4,2013-10-03T00:00:00.000Z,ANDERSON ST ,20741,Unsexed - 1 Year         ,2010,900
1196,4,2010-09-01T00:00:00.000Z,WEST ST ,20742,Unsexed - 1 Year         ,2010,900
1197,4,2010-08-24T00:00:00.000Z,MELBOURNE PARK CIR ,20743,Unsexed - 1 Year         ,2010,100
1198,4,2012-08-14T00:00:00.000Z,ELLIOTT AVE ,20744,Unsexed - 1 Year         ,2010,700
1199,10,2017-03-21T00:00:00.000Z,RAINIER RD ,20745,Sexed - 1 Year           ,2010,800
1200,4,2023-01-19T00:00:00.000Z,NORTHWOOD AVE ,20746,Unsexed - 1 Year         ,2010,700
1201,4,2010-10-21T00:00:00.000Z,DOUGLAS AVE ,20747,Unsexed - 1 Year         ,2010,200
1202,4,2017-04-01T00:00:00.000Z,PROSPECT AVE ,20748,Unsexed - 1 Year         ,2010,800
1203,4,2009-07-24T00:00:00.000Z,E MARKET ST ,20749,Unsexed - 1 Year         ,2010,600
1204,10,2015-09-06T00:00:00.000Z,PROSPECT AVE ,20750,Sexed - 1 Year           ,2010,700
1205,4,2020-02-17T00:00:00.000Z,EARLY ST ,20751,Unsexed - 1 Year         ,2010,1400
1206,10,2018-01-13T00:00:00.000Z,HARTMANS MILL RD ,20752,Sexed - 1 Year           ,2010,200
1207,4,2012-12-15T00:00:00.000Z,TRAILRIDGE RD ,20753,Unsexed - 1 Year         ,2010,1500
1208,10,2014-01-17T00:00:00.000Z,PRESTON AVE ,20755,Sexed - 1 Year           ,2010,1300
1209,4,2015-03-12T00:00:00.000Z,LEWIS MOUNTAIN RD ,20756,Unsexed - 1 Year         ,2010,1900
1210,4,2017-02-24T00:00:00.000Z,CONCORD DR ,20757,Unsexed - 1 Year         ,2010,1700
1211,4,2018-10-01T00:00:00.000Z,KING ST ,20758,Unsexed - 1 Year         ,2010,900
1212,4,2022-12-11T00:00:00.000Z,THOMSON RD ,20759,Unsexed - 1 Year         ,2010,1900
1213,12,2013-04-26T00:00:00.000Z,PARK PLZ ,20760,Unsexed - 3 Year         ,2012,500
1214,12,2015-07-09T00:00:00.000Z,PARK PLZ ,20761,Unsexed - 3 Year         ,2012,500
1215,4,2019-02-26T00:00:00.000Z,MORRIS RD ,20762,Unsexed - 1 Year         ,2010,2100
1216,4,2013-04-02T00:00:00.000Z,HOLMES AVE ,20763,Unsexed - 1 Year         ,2010,1200
1217,4,2013-01-07T00:00:00.000Z,SUNSET RD ,20764,Unsexed - 1 Year         ,2010,2400
1218,12,2016-01-26T00:00:00.000Z,EARLY ST ,20765,Unsexed - 3 Year         ,2012,1500
1219,4,2014-07-23T00:00:00.000Z,DELL LN ,20766,Unsexed - 1 Year         ,2010,700
1220,10,2022-10-15T00:00:00.000Z,PROSPECT AVE ,20767,Sexed - 1 Year           ,2010,700
1221,4,2016-04-22T00:00:00.000Z,VILLAGE CT ,20768,Unsexed - 1 Year         ,2010,100
1222,4,2012-03-23T00:00:00.000Z,RUGBY RD ,20769,Unsexed - 1 Year         ,2010,900
1223,4,2012-12-18T00:00:00.000Z,RUGBY RD ,20770,Unsexed - 1 Year         ,2010,900
1224,10,2014-04-15T00:00:00.000Z,UNASSIGNED ,20771,Sexed - 1 Year           ,2010,0
1225,4,2013-06-08T00:00:00.000Z,UNASSIGNED ,20772,Unsexed - 1 Year         ,2010,0
1226,4,2014-03-15T00:00:00.000Z,ST GEORGE AVE ,20773,Unsexed - 1 Year         ,2010,1200
1227,10,2014-06-10T00:00:00.000Z,WESTVIEW RD ,20774,Sexed - 1 Year           ,2010,1800
1228,10,2016-09-25T00:00:00.000Z,RIVES ST ,20775,Sexed - 1 Year           ,2010,900
1229,10,2013-10-26T00:00:00.000Z,WELK PL ,20776,Sexed - 1 Year           ,2010,100
1230,4,2017-02-21T00:00:00.000Z,6 1/2 ST SW ,20777,Unsexed - 1 Year         ,2010,300
1231,10,2020-06-04T00:00:00.000Z,YORKTOWN DR ,20778,Sexed - 1 Year           ,2010,1600
1232,10,2020-03-06T00:00:00.000Z,MICHIE DR ,20779,Sexed - 1 Year           ,2010,2100
1233,10,2010-11-13T00:00:00.000Z,6TH ST SE ,20780,Sexed - 1 Year           ,2010,1200
1234,4,2013-05-20T00:00:00.000Z,GLENN CT ,20781,Unsexed - 1 Year         ,2010,2300
1235,10,2013-01-19T00:00:00.000Z,HARMON ST ,20782,Sexed - 1 Year           ,2010,100
1236,4,2012-02-03T00:00:00.000Z,RUTLEDGE AVE ,20783,Unsexed - 1 Year         ,2010,1400
1237,4,2017-03-14T00:00:00.000Z,DOUGLAS AVE ,20784,Unsexed - 1 Year         ,2010,200
1238,10,2011-06-23T00:00:00.000Z,2ND ST SW ,20785,Sexed - 1 Year           ,2010,100
1239,4,2013-04-14T00:00:00.000Z,CHERRY AVE ,20786,Unsexed - 1 Year         ,2010,1500
1240,4,2019-01-25T00:00:00.000Z,HARDWOOD AVE ,20787,Unsexed - 1 Year         ,2010,1600
1241,10,2011-06-23T00:00:00.000Z,2ND ST SW ,20788,Sexed - 1 Year           ,2010,100
1242,4,2018-11-14T00:00:00.000Z,HARDWOOD AVE ,20789,Unsexed - 1 Year         ,2010,1600
1243,4,2013-03-31T00:00:00.000Z,UNASSIGNED ,20790,Unsexed - 1 Year         ,2010,0
1244,4,2018-11-30T00:00:00.000Z,BOLLINGWOOD RD ,20791,Unsexed - 1 Year         ,2010,100
1245,4,2012-02-28T00:00:00.000Z,WESTVIEW RD ,20792,Unsexed - 1 Year         ,2010,1800
1246,4,2012-09-16T00:00:00.000Z,ANTOINETTE AVE ,20793,Unsexed - 1 Year         ,2010,100
1247,10,2010-11-06T00:00:00.000Z,CARLTON AVE ,20794,Sexed - 1 Year           ,2010,1500
1248,4,2014-06-14T00:00:00.000Z,ST CLAIR AVE ,20795,Unsexed - 1 Year         ,2010,800
1249,4,2020-02-17T00:00:00.000Z,VILLAGE RD ,20796,Unsexed - 1 Year         ,2010,800
1250,4,2011-04-08T00:00:00.000Z,CABELL AVE ,20797,Unsexed - 1 Year         ,2010,800
1251,4,2013-04-13T00:00:00.000Z,UNASSIGNED ,20798,Unsexed - 1 Year         ,2010,0
1252,4,2013-01-08T00:00:00.000Z,ELLIOTT AVE ,20799,Unsexed - 1 Year         ,2010,1100
1253,4,2016-08-02T00:00:00.000Z,10TH ST NW ,20800,Unsexed - 1 Year         ,2010,200
1254,4,2016-06-09T00:00:00.000Z,UNASSIGNED ,20801,Unsexed - 1 Year         ,2010,0
1255,4,2014-07-19T00:00:00.000Z,E MARKET ST ,20802,Unsexed - 1 Year         ,2010,1500
